episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/td_error,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
-80265.36282375157,-80265.36282375157,-80265.36282375157,709.0,1,0,1000,32,1000,False,1,1,default,5fc391305f6743b6826a0275140cb99d,2022-04-23_13-07-41,1650686861,65.46234488487244,65.46234488487244,34388,B46DSH3,127.0.0.1,65.46234488487244,32,1,[-80265.36282375157],[709],1.0245041651921076,6.561628945700296,0.1868036958006593,56.929139109639145,0.0,0.0,0.0,160.001,199.999,1000,1000,32,32,32,1000,1,4.632941176470588,21.79058823529412,0.10247058823529415,0.02921621285232844,"[187.67786  219.69006   93.80649  166.93883  124.74208  104.66543
 215.43419  101.566414  62.201942 151.61086  165.11781  207.0688
 223.57393   25.871216  93.116295 192.1681    97.28644   97.10508
 106.43116  224.45135   76.61524   49.26741  138.4452   264.60635
 105.10943  128.39848   88.31456   43.847256 197.47516   48.03282
 167.9531   110.309784]",0.0005000000237487257,0.32275075,-1.1104033,1.5807819,133.7156
-76933.88276913355,-80265.36282375157,-78599.62279644256,699.0,1,0,2000,32,2000,False,2,2,default,5fc391305f6743b6826a0275140cb99d,2022-04-23_13-08-55,1650686935,73.74964094161987,139.2119858264923,34388,B46DSH3,127.0.0.1,139.2119858264923,64,2,"[-80265.36282375157, -76933.88276913355]","[709, 689]",1.026117516784172,6.425327299921262,0.17226269509132766,57.43141360691081,0.0,1.201,26651.654,18.804,1701.774,2000,2000,8032,32,8032,1504,2,4.555789473684211,21.800000000000004,0.14557894736842106,0.029380182634320184,"[-6.04850159e+01 -1.02750778e+02  7.16759644e+01  8.28457947e+01
  5.93370361e+01  6.73980713e-02  6.72566528e+01  8.36678772e+01
 -2.09005676e+02 -2.40963440e+01  9.15496826e+01 -8.10091095e+01
 -2.13985489e+02  3.12918243e+01  1.17619904e+02 -1.75280716e+02
 -4.62941742e+01  8.41571045e+01 -1.65491608e+02  1.10549774e+02
 -1.34210495e+02 -4.52278442e+01 -1.77188660e+02  7.58518982e+00
  1.95136871e+01  4.79486542e+01 -9.99733887e+01 -7.66201782e+00
  7.16149292e+01  1.19537582e+02  9.18412170e+01 -1.22107323e+02]",0.0005000000237487257,-233.0108,-284.59607,-138.25609,-15.834637
-68676.96317101907,-80265.36282375157,-75860.94391414743,686.5,2,0,3000,32,3000,False,4,3,default,5fc391305f6743b6826a0275140cb99d,2022-04-23_13-10-01,1650687001,66.10254430770874,205.31453013420105,34388,B46DSH3,127.0.0.1,205.31453013420105,96,3,"[-80265.36282375157, -76933.88276913355, -68676.96317101907, -77567.56689268551]","[709, 689, 612, 736]",1.1523004002492803,6.239162757852808,0.15179131577341765,56.572494180278696,0.0,1.0,31991.64,16.992,1883.229,3000,3000,16032,32,16032,2512,4,4.452325581395349,21.8,0.1277906976744186,0.029317220052083343,"[ -67.53374    -17.213623  -194.88133      5.3552246   53.432922
 -135.08923    139.14276     21.4747      70.06122    -55.69641
   -9.709106  -110.67523   -153.68489     26.432526   -17.695175
 -199.36784   -179.34259   -213.5645     118.7381       8.182373
  -16.64972      9.397156   -19.419525    24.050842    -7.4976807
 -236.17824    -44.017303   -27.246552   158.6691    -171.47023
 -147.07472      9.368988 ]",0.0005000000237487257,-368.1385,-543.86646,-31.460869,-43.115677
-68353.25570435627,-80265.36282375157,-74359.4062721892,692.4,1,0,4000,32,4000,False,5,4,default,5fc391305f6743b6826a0275140cb99d,2022-04-23_13-11-21,1650687081,80.46287417411804,285.7774043083191,34388,B46DSH3,127.0.0.1,285.7774043083191,128,4,"[-80265.36282375157, -76933.88276913355, -68676.96317101907, -77567.56689268551, -68353.25570435627]","[709, 689, 612, 736, 716]",1.166015316565689,6.182872790473388,0.14767393416699331,56.92002074344414,0.0,0.0,0.0,17.999,1777.925,4000,4000,24032,32,24032,3520,6,4.423076923076923,21.800000000000008,0.11115384615384617,0.02931722005208333,"[ 242.2774    -112.97699    -13.804962   228.72641    258.779
   12.060944   -26.224915    35.659515    34.51831   -146.60387
   55.365906    51.791443    89.21753     46.95804      3.8024902
  215.31235      9.02475     28.171448   146.44275    -32.585175
   47.767212   -75.661316   -14.003586   -85.09094     16.91211
   69.21126    124.78342    109.999084   172.18701      4.889099
  250.5314      35.68927  ]",0.0005000000237487257,-461.82697,-681.3846,-172.7623,55.7227
-68353.25570435627,-80265.36282375157,-73110.83951195361,704.4285714285714,2,0,5000,32,5000,False,7,5,default,5fc391305f6743b6826a0275140cb99d,2022-04-23_13-12-40,1650687160,78.6322238445282,364.4096281528473,34388,B46DSH3,127.0.0.1,364.4096281528473,160,5,"[-80265.36282375157, -76933.88276913355, -68676.96317101907, -77567.56689268551, -68353.25570435627, -68547.0257865929, -71431.81943613631]","[709, 689, 612, 736, 716, 702, 767]",1.2138115549716146,6.092484270073467,0.14215621635889655,57.62735173387515,0.0,2.001,15995.63,15.0,2133.288,5000,5000,32032,32,32032,4528,8,4.38019801980198,21.81089108910892,0.11603960396039605,0.029317220052083336,"[-149.10925     54.520508    16.090027   188.66833    -18.934631
  -24.817078  -109.18909   -129.57428    280.94147    115.67911
  -77.66998      8.29129   -216.6195      38.231873   299.96283
 -172.9425    -189.07004    178.02478   -259.49866      7.6135864
  -38.51068   -144.30264    200.46289   -273.01648   -139.04242
    5.681885   -80.04056     13.73761     -4.3702393  114.70508
   18.762817   373.4156   ]",0.0005000000237487257,-586.79126,-867.1542,-235.3581,-3.497449
-68353.25570435627,-80265.36282375157,-72541.54649752402,707.375,1,0,6000,32,6000,False,8,6,default,5fc391305f6743b6826a0275140cb99d,2022-04-23_13-13-49,1650687229,68.67150664329529,433.0811347961426,34388,B46DSH3,127.0.0.1,433.0811347961426,192,6,"[-80265.36282375157, -76933.88276913355, -68676.96317101907, -77567.56689268551, -68353.25570435627, -68547.0257865929, -71431.81943613631, -68556.49539651697]","[709, 689, 612, 736, 716, 702, 767, 728]",1.221108842790453,6.053965810825125,0.13945524212234633,57.75100094891843,0.0,4.091,7822.594,17.459,1832.909,6000,6000,40032,32,40032,5536,10,4.479775280898877,21.87528089887641,0.13325842696629214,0.029324763723080526,"[   9.691345    -4.9781494   98.884705    26.52362    102.17395
   27.622375    -6.446289   111.44681    126.02722    181.77136
   10.039612   126.80249   -233.42883   -329.04587   -115.17932
    2.5787735   67.90961    -95.03613      7.5681763 -126.48538
   93.21991    214.55414    164.46161     97.5246     -40.210876
  -92.90961     -5.942749  -276.45135    -84.71527     49.766357
 -118.27106    234.38824  ]",0.0005000000237487257,-672.17084,-1073.2185,119.710594,6.9954376
-67212.89458850982,-80265.36282375157,-71949.4740631891,709.3333333333334,1,0,7000,32,7000,False,9,7,default,5fc391305f6743b6826a0275140cb99d,2022-04-23_13-15-00,1650687300,71.4511935710907,504.5323283672333,34388,B46DSH3,127.0.0.1,504.5323283672333,224,7,"[-80265.36282375157, -76933.88276913355, -68676.96317101907, -77567.56689268551, -68353.25570435627, -68547.0257865929, -71431.81943613631, -68556.49539651697, -67212.89458850982]","[709, 689, 612, 736, 716, 702, 767, 728, 725]",1.2228158892886043,6.020710381572204,0.13790705694553704,57.82532494036325,0.0,0.2,160011.598,19.6,1632.622,7000,7000,48032,32,48032,6544,12,4.457608695652174,21.83913043478261,0.11467391304347826,0.029337565104166664,"[   2.4135132 -500.51273    236.1629     -33.612427   111.701294
  279.04333   -110.901306   343.99744    186.45001     27.644531
 -283.82556    -17.668848   101.87335    287.48938     -2.8237305
    7.1085205   84.79657     70.03882   -208.81122   -102.61926
  334.4041    -129.7323      27.119263   278.62073    -38.834106
  123.82739    111.57739    288.63586   -211.65424    279.714
  -83.27612    -63.58197  ]",0.0005000000237487257,-831.0313,-1216.0846,17.779448,43.586395
-67212.89458850982,-80265.36282375157,-71845.27872240214,726.8,1,0,8000,32,8000,False,10,8,default,5fc391305f6743b6826a0275140cb99d,2022-04-23_13-16-12,1650687372,72.23758864402771,576.769917011261,34388,B46DSH3,127.0.0.1,576.769917011261,256,8,"[-80265.36282375157, -76933.88276913355, -68676.96317101907, -77567.56689268551, -68353.25570435627, -68547.0257865929, -71431.81943613631, -68556.49539651697, -67212.89458850982, -70907.52065531952]","[709, 689, 612, 736, 716, 702, 767, 728, 725, 884]",1.222641917724033,5.991540150672056,0.1365744833632077,57.87886835199222,0.0,1.195,26777.673,21.39,1496.017,8000,8000,56032,32,56032,7552,14,4.435483870967743,21.800000000000004,0.1145161290322581,0.02933756510416666,"[  42.93274     448.46698    -128.61438    -129.32336      59.331726
  -10.145447     42.537354     36.964233    -48.687195   -330.00317
  -34.781494   -192.36737    -449.05408     -31.788513   -214.72852
  -19.815308     84.42407      10.847046     20.091675    229.92584
 -358.24506       9.864868     85.548096     81.47949     148.4812
    0.74487305  -60.51465     -64.05109    -239.4497      -29.915222
    6.2265625   112.13446   ]",0.0005000000237487257,-978.13086,-1451.2683,-620.77295,-28.796352
-67212.89458850982,-91662.93183412745,-73646.88355074081,754.8181818181819,1,0,9000,32,9000,False,11,9,default,5fc391305f6743b6826a0275140cb99d,2022-04-23_13-17-28,1650687448,75.97748517990112,652.7474021911621,34388,B46DSH3,127.0.0.1,652.7474021911621,288,9,"[-80265.36282375157, -76933.88276913355, -68676.96317101907, -77567.56689268551, -68353.25570435627, -68547.0257865929, -71431.81943613631, -68556.49539651697, -67212.89458850982, -70907.52065531952, -91662.93183412745]","[709, 689, 612, 736, 716, 702, 767, 728, 725, 884, 1035]",1.2205099769967471,5.967209474060687,0.13589400168345833,57.95437699289974,0.0,0.301,106336.34,19.951,1603.944,9000,9000,64032,32,64032,8560,16,4.505102040816327,21.855102040816327,0.12520408163265306,0.02935188968165391,"[ 274.37415   -31.39801  -210.74927   454.97058   239.88501   -45.162354
   23.620972  132.91919   138.2998    231.27393   239.50214  -279.61633
  174.30151  -313.134     -67.87341  -238.35931  -163.71692  -269.16168
  -11.082092 -186.37158   255.00525   122.41699  -171.18756   -16.850891
  -32.653564   54.421387   33.261963  -20.486694    9.002808 -169.9978
  272.19623  -117.07507 ]",0.0005000000237487257,-1011.08966,-1453.2716,-371.42297,9.705481
-67212.89458850982,-91662.93183412745,-75087.81863010433,791.8333333333334,1,0,10000,32,10000,False,12,10,default,5fc391305f6743b6826a0275140cb99d,2022-04-23_13-18-24,1650687504,55.21688461303711,707.9642868041992,34388,B46DSH3,127.0.0.1,707.9642868041992,320,10,"[-80265.36282375157, -76933.88276913355, -68676.96317101907, -77567.56689268551, -68353.25570435627, -68547.0257865929, -71431.81943613631, -68556.49539651697, -67212.89458850982, -70907.52065531952, -91662.93183412745, -90938.10450310311]","[709, 689, 612, 736, 716, 702, 767, 728, 725, 884, 1035, 1199]",1.216682807761761,5.944031688637618,0.1354591249215051,57.87234139041669,0.0,1.339,23903.85,19.778,1617.941,10000,10000,72032,32,72032,9568,18,4.393055555555555,21.87916666666667,0.13833333333333334,0.029337565104166668,"[ 470.8192      -3.2246094  109.89844     70.88428   -266.698
  -89.997314   101.786255   224.31311     57.21875   -335.11353
  129.78741    -36.64734    293.46097    257.03723    281.1917
  259.1919     433.95807    -30.572144   -15.907745   226.81848
 -244.89856    231.18127     10.8116455  -60.692078   152.09753
  272.3817     404.92474     91.325195   -51.02356     -6.7790527
 -195.87946    459.03156  ]",0.0005000000237487257,-944.3813,-1489.4956,-349.6472,100.02144
