episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/td_error,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
nan,nan,nan,nan,0,0,1000,32,1000,False,0,1,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-28-26,1650698906,31.696547508239746,31.696547508239746,34544,B46DSH3,127.0.0.1,31.696547508239746,32,1,[],[],0.0,0.0,206.559,154.919,1000,1000,32,32,32,1000,1,8.464285714285715,26.283333333333335,0.14285714285714285,0.03959873744419644,"[252.9092   255.33221  264.53476  128.49486  558.24854  180.17221
 184.0136   135.94987  570.8525   271.03644   98.97991   87.00617
  69.01653  118.76774   71.659256 164.64902  181.71945  354.77707
 167.16458  106.181145 374.70633   46.470837 563.007    206.1277
 364.5904   389.2421   151.20776  198.11238  132.07024  183.67863
 305.85977  255.33221 ]",0.0005000000237487257,0.25600874,-0.7744052,1.275163,230.99594
-286598.5,-286598.5,-286598.5,1207.0,1,0,2000,32,2000,False,1,2,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-28-56,1650698936,30.682299375534058,62.378846883773804,34544,B46DSH3,127.0.0.1,62.378846883773804,64,2,[-286598.5],[1207],1.1,29093.018,21.971,1456.469,2000,2000,8032,32,8032,1504,2,8.007692307692308,26.299999999999994,0.2543589743589744,0.039764665130876065,"[-255.97388   -112.089874  -256.33197    242.7981     -80.23581
    3.7684267  248.69177    192.28125    123.93448    465.79993
   -7.7269897  -92.30203    465.79993    136.70465    117.75351
  109.63071    307.65927    421.58792    260.78485    -60.2948
  -41.85489   -281.734     -174.2836     173.14554   -127.386566
  533.09296    -83.340576   236.24048    707.97       339.76428
 -126.73056    -54.90158  ]",0.0005000000237487257,-431.22742,-503.45673,0.049961567,104.131905
-230899.5,-286598.5,-258749.0,1134.0,1,0,3000,32,3000,False,2,3,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-29-30,1650698970,33.72448444366455,96.10333132743835,34544,B46DSH3,127.0.0.1,96.10333132743835,96,3,"[-286598.5, -230899.5]","[1207, 1061]",0.0,0.0,15.404,2077.397,3000,3000,16032,32,16032,2512,4,8.02325581395349,26.30697674418605,0.2776744186046512,0.0397731574006783,"[ -12.956787   -347.45685    -744.8183     -198.54169    -240.44019
  125.36359       1.6708984   292.899        26.901917    138.44342
    0.90148926 -472.0306      -14.877014    -61.3255     -417.5542
  -24.922913   -191.2185       88.34485      -3.543274    -60.144592
  -12.007324   -122.1051       35.77516     -18.08374     169.27637
  -35.08319    -239.81836    -252.32593    -183.69305     486.87048
  150.3518      712.7317    ]",0.0005000000237487257,-871.31244,-1042.3273,-162.05078,-44.481766
-230899.5,-286598.5,-254768.83333333334,1159.3333333333333,1,0,4000,32,4000,False,3,4,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-30-01,1650699001,30.74954390525818,126.85287523269653,34544,B46DSH3,127.0.0.1,126.85287523269653,128,4,"[-286598.5, -230899.5, -246808.5]","[1207, 1061, 1210]",0.0,0.0,18.099,1768.077,4000,4000,24032,32,24032,3520,6,8.197435897435897,26.376923076923074,0.25435897435897437,0.039701543302617506,"[-694.41504   -263.07178   -196.59479   -248.07565    113.25189
   69.71228    -51.142212    63.744873    11.168945    30.839294
  275.82886    254.58057   -150.5539       9.210449   175.99585
  247.89563    586.14606    473.365      162.18445   -129.95874
  -36.792603  -139.87048    231.4939    -294.82843     28.693787
    7.8516235  -57.26172   -159.81805    113.481445    41.93933
  -79.68848    370.78882  ]",0.0005000000237487257,-1125.5127,-1472.4385,-553.129,23.940662
-230899.5,-286598.5,-251253.0,1192.0,1,0,5000,32,5000,False,4,5,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-30-29,1650699029,27.888526678085327,154.74140191078186,34544,B46DSH3,127.0.0.1,154.74140191078186,160,5,"[-286598.5, -230899.5, -246808.5, -240705.5]","[1207, 1061, 1210, 1290]",2.004,15964.237,13.97,2290.593,5000,5000,32032,32,32032,4528,8,8.236111111111109,26.352777777777774,0.2386111111111111,0.039685284649884266,"[-274.1068     144.1167     -50.24768    -47.547485  -977.98773
  136.14282   -471.40778    321.66675    -70.66162    397.59924
   10.372803    58.61438    122.61426     -8.609131  -246.18701
  -71.10739     52.182373   -82.995605  -544.62854   -135.89111
 -393.02783    131.38708    108.161865  -116.380615  -441.44336
    9.141846  -350.0431       7.5634766  -58.826416   143.05884
 -228.66846   -242.38666  ]",0.0005000000237487257,-1349.4973,-1799.0591,-346.6421,-99.04787
-230899.5,-286598.5,-251253.0,1192.0,0,0,6000,32,6000,False,4,6,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-30-54,1650699054,25.671470642089844,180.4128725528717,34544,B46DSH3,127.0.0.1,180.4128725528717,192,6,"[-286598.5, -230899.5, -246808.5, -240705.5]","[1207, 1061, 1210, 1290]",0.0,0.0,14.388,2224.11,6000,6000,40032,32,40032,5536,10,8.081818181818184,26.37272727272727,0.17575757575757578,0.039629078874684344,"[ -30.177856   526.0183    -130.63092   -154.51685   -371.26147
   81.39429     70.72705    184.70056    -38.72525   -221.91284
  459.89954   -619.818     -543.69824    230.07861    153.87048
  138.87988    321.54187   -190.45789   -116.128784   233.94153
 -188.04675    456.79144    162.97095   -114.693115    -2.1816406
 -455.29352    -27.554443  -949.4241    -222.96423    -94.88562
 -240.93726    -87.750824 ]",0.0005000000237487257,-1346.003,-1993.5999,-485.69156,-55.632664
-220092.5,-286598.5,-245020.9,1216.6,1,0,7000,32,7000,False,5,7,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-31-23,1650699083,29.024430990219116,209.43730354309082,34544,B46DSH3,127.0.0.1,209.43730354309082,224,7,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5]","[1207, 1061, 1210, 1290, 1315]",0.062,512281.405,17.838,1793.945,7000,7000,48032,32,48032,6544,12,7.948648648648649,26.370270270270264,0.1535135135135135,0.03972233952702703,"[-431.63812   652.25806  -432.34167   193.56714  -365.48218   -70.05115
  -96.73035  -626.7635   -315.6057    521.01855   131.7373      9.478516
  -61.869263 -391.98914   -86.23755  -130.29199    91.34912  -168.01172
  115.307495  232.97388  -300.02454  -665.5526   -284.4911     32.432495
 -236.74603  -510.1891    -86.44446  -187.9483    305.6797   -140.7334
   -9.513184 -472.37756 ]",0.0005000000237487257,-1591.6326,-2101.925,-548.72174,-118.288445
-214091.0,-286598.5,-239865.91666666666,1235.8333333333333,1,0,8000,32,8000,False,6,8,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-31-51,1650699111,27.282609701156616,236.71991324424744,34544,B46DSH3,127.0.0.1,236.71991324424744,256,8,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0]","[1207, 1061, 1210, 1290, 1315, 1332]",0.0,0.0,17.438,1835.052,8000,8000,56032,32,56032,7552,14,8.114285714285716,26.311428571428568,0.19485714285714287,0.03969377790178571,"[ 193.34924   -463.09583   -149.03809    122.94678   -623.64435
   36.689453   -62.693726  -230.96338   -759.6466    -538.56995
 -254.11499   -222.61584   -277.0204     -91.75946    114.09277
  104.09424    521.5127      90.14258      6.7226562 -118.269775
   54.696167  -749.89014    112.997375   142.20105   -572.86194
 -158.08826    111.84766    109.40662     31.095703  -658.6182
  118.88696   -110.98767  ]",0.0005000000237487257,-1803.2944,-2259.7183,-343.43396,-130.3499
-214091.0,-286598.5,-239865.91666666666,1235.8333333333333,0,0,9000,32,9000,False,6,9,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-32-14,1650699134,22.801828384399414,259.52174162864685,34544,B46DSH3,127.0.0.1,259.52174162864685,288,9,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0]","[1207, 1061, 1210, 1290, 1315, 1332]",0.0,0.0,16.49,1940.572,9000,9000,64032,32,64032,8560,16,8.424137931034481,26.32413793103448,0.18379310344827587,0.0396728515625,"[  55.23169   -321.89514   -459.23657    131.73315     34.074707
 -151.13611   -170.5238      86.56543    641.9375      -4.786255
   -8.741211   -33.92578   -118.60254    491.7893    -294.5375
 -137.77661     -9.30127     49.572754   -88.74219     28.229492
  339.45923      3.7211914 -374.3957    -636.37506   -927.1262
  142.74731    -42.759766   177.29956   -502.04773    -36.62378
  255.32202   -430.3484   ]",0.0005000000237487257,-2021.094,-2557.989,-273.6429,-72.224945
-214091.0,-286598.5,-238375.07142857142,1294.5714285714287,1,0,10000,32,10000,False,7,10,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-32-37,1650699157,23.52627420425415,283.048015832901,34544,B46DSH3,127.0.0.1,283.048015832901,320,10,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0, -229430.0]","[1207, 1061, 1210, 1290, 1315, 1332, 1647]",0.0,0.0,19.025,1681.981,10000,10000,72032,32,72032,9568,18,8.113333333333333,26.379999999999992,0.17333333333333334,0.03970540364583333,"[  -9.807373  208.06592   138.87183   -24.815674  956.67725  -254.49048
  206.40332  -157.2168    -90.3833    419.8783     90.84448    44.591064
 -503.7243    147.45117    14.019775 -210.20868    98.60596   114.54773
  -23.203247  -21.29602   305.81836   182.43896  -254.4624    553.83875
 -916.2693   -794.1907     49.86743   134.61792   757.08264  -583.9867
  127.89783  -655.0333  ]",0.0005000000237487257,-2116.1973,-2819.6855,-782.17676,1.6384506
