episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/td_error,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
-97988.16945790718,-97988.16945790718,-97988.16945790718,811.0,1,0,1000,32,1000,False,1,1,default,d8fbdb70cf824dc3806e7bad508132d8,2022-04-24_14-19-52,1650777592,61.381447553634644,61.381447553634644,24452,B46DSH3,127.0.0.1,61.381447553634644,32,1,[-97988.16945790718],[811],1.0814242786937185,5.298751455682379,0.15221775828541576,54.222044053968496,0.0,0.0,0.0,162.725,196.651,1000,1000,32,32,32,1000,1,4.459493670886077,22.3860759493671,0.01949367088607595,0.028401692708333346,"[1.02366936e+02 1.81807724e+02 8.49936142e+01 2.15224243e+02
 1.19514160e+02 1.60174774e+02 1.17016426e+02 5.95242920e+01
 2.04835266e+02 1.86684692e+02 1.15282997e+02 8.53457947e+01
 2.57314209e+02 7.48252563e+01 7.15480270e+01 2.12887070e+02
 2.71171997e+02 1.46435455e+02 1.08053009e+02 1.78591843e+01
 8.54276276e+00 6.04044495e+01 1.79421524e+02 2.10672424e+02
 3.10892963e+01 6.77230911e+01 9.35397720e+01 1.44248798e-01
 1.22702034e+02 1.27608810e+02 8.24907494e+00 1.63199921e+02]",0.0005000000237487257,-0.05693619,-1.3177059,1.0868287,120.81758
-87981.5058561355,-97988.16945790718,-92984.83765702133,827.5,1,0,2000,32,2000,False,2,2,default,d8fbdb70cf824dc3806e7bad508132d8,2022-04-24_14-20-41,1650777641,48.749539613723755,110.1309871673584,24452,B46DSH3,127.0.0.1,110.1309871673584,64,2,"[-97988.16945790718, -87981.5058561355]","[811, 844]",1.1138796376099043,4.978359098590202,0.14025038760448041,49.947145952917246,0.0,1.563,20477.188,14.954,2139.917,2000,2000,8032,32,8032,1504,2,4.190322580645161,22.40000000000001,0.054516129032258054,0.02858479817708333,"[  33.103134   -114.859695    -47.103577    -43.001015      5.963928
  -90.34137      58.841675     83.55963     -53.69536      33.652832
   84.14749      77.69667      83.55963      68.40701      -2.542801
   83.523605    -96.070435     35.32184     -93.706856    115.485596
  -26.760025     21.12735       0.29105377  -48.192757    -67.0605
 -162.1192      -45.241135    -67.13159      70.53287     -35.63173
   41.945755     48.333557  ]",0.0005000000237487257,-233.37141,-330.17422,-59.832436,-1.498888
-70341.20327994366,-97988.16945790718,-85436.95953132877,820.0,1,0,3000,32,3000,False,3,3,default,d8fbdb70cf824dc3806e7bad508132d8,2022-04-24_14-21-31,1650777691,49.963889360427856,160.09487652778625,24452,B46DSH3,127.0.0.1,160.09487652778625,96,3,"[-97988.16945790718, -87981.5058561355, -70341.20327994366]","[811, 844, 805]",1.1140642336924558,4.8337087963544745,0.1389155947686618,47.69049138824596,0.0,0.655,48838.414,13.785,2321.391,3000,3000,16032,32,16032,2512,4,4.2828125,22.400000000000002,0.053906249999999996,0.028584798177083336,"[  74.37198   -83.332275   32.9993     46.88916    -9.834412  -37.393036
  -17.68489    47.106842  -69.69827   -54.343018  184.70428   -37.823242
 -193.83168   -44.2332    -63.91742    33.093628  -28.780151   15.906113
  -27.811035 -101.898346   29.153198  -79.11551    74.482056 -216.6412
 -134.20148   -34.48654    50.207947  -76.636536 -120.707275  -74.46811
  -26.483856   62.106018]",0.0005000000237487257,-361.92474,-577.46045,-116.91079,-27.571907
-52729.484277957796,-97988.16945790718,-76100.75449144063,799.4,2,0,4000,32,4000,False,5,4,default,d8fbdb70cf824dc3806e7bad508132d8,2022-04-24_14-22-22,1650777742,50.64575123786926,210.74062776565552,24452,B46DSH3,127.0.0.1,210.74062776565552,128,4,"[-97988.16945790718, -87981.5058561355, -70341.20327994366, -71463.40958525901, -52729.484277957796]","[811, 844, 805, 775, 762]",1.1666529243788322,4.650453218607332,0.13363457036311946,45.44985323250937,0.0,1.567,20422.35,15.468,2068.774,4000,4000,24032,32,24032,3520,6,4.204615384615384,22.400000000000002,0.05646153846153846,0.028584798177083336,"[ -69.63464    -69.50546     54.853577    55.602966  -227.71484
   39.302185    91.62463     56.97632   -145.47272    -73.67828
  -20.753601  -113.92395      8.419647   -25.406067   116.57811
  -56.810974   -82.877625   -72.035736   -64.246216    83.53833
  167.52069    -69.59277     70.04013    -21.721619   -68.32294
    7.5145874  -37.105713   -11.2382965  115.96475    -68.11594
    4.255005    48.776    ]",0.0005000000237487257,-480.61432,-741.9174,-49.83732,-11.787203
-50452.58023958231,-97988.16945790718,-71826.05878279758,801.0,1,0,5000,32,5000,False,6,5,default,d8fbdb70cf824dc3806e7bad508132d8,2022-04-24_14-23-03,1650777783,41.32784843444824,252.06847620010376,24452,B46DSH3,127.0.0.1,252.06847620010376,160,5,"[-97988.16945790718, -87981.5058561355, -70341.20327994366, -71463.40958525901, -52729.484277957796, -50452.58023958231]","[811, 844, 805, 775, 762, 809]",1.167997587098862,4.600394048541125,0.13138399488831456,44.48210207674682,0.0,0.1,319946.908,16.1,1987.572,5000,5000,32032,32,32032,4528,8,4.2924528301886795,22.40000000000001,0.06716981132075471,0.028584798177083325,"[ -76.23868     13.410217   -56.79773    -61.40985     91.984924
   -3.9708862  -14.74762     52.46338    -33.34735   -135.2398
  108.5412     -75.475464   162.62378   -167.58759      1.760376
  -75.92801    -44.43579    -37.20172     33.135803   -81.086945
  -74.21582   -140.29428    338.56506   -234.31567    294.4502
    6.8112793  294.4502     -99.55722   -239.41344    117.927124
  -18.408173  -103.90686  ]",0.0005000000237487257,-566.46533,-958.86993,-248.91489,-8.045481
-50452.58023958231,-97988.16945790718,-70638.70023287022,808.8571428571429,1,0,6000,32,6000,False,7,6,default,d8fbdb70cf824dc3806e7bad508132d8,2022-04-24_14-23-49,1650777829,45.96580934524536,298.0342855453491,24452,B46DSH3,127.0.0.1,298.0342855453491,192,6,"[-97988.16945790718, -87981.5058561355, -70341.20327994366, -71463.40958525901, -52729.484277957796, -50452.58023958231, -63514.54893330605]","[811, 844, 805, 775, 762, 809, 856]",1.166878349327703,4.574101557261322,0.13075996130959078,43.644001361110604,0.0,1.668,19189.861,15.706,2037.448,6000,6000,40032,32,40032,5536,10,4.8779661016949145,22.471186440677965,0.09050847457627119,0.029218943105579095,"[ 204.31458      7.491699   190.61383     12.214172   158.26624
  254.03918     35.011536   -39.64044   -121.40623    -77.08911
  -95.70538   -200.82785     14.432373   173.40555     18.738586
   50.8721     -22.059875   116.64661     80.13846    205.53632
   26.47113    161.16382      6.2824097  159.01251    271.7538
   31.459656    23.023315  -487.77545   -116.25406    -49.040894
  206.03687    -73.8248   ]",0.0005000000237487257,-611.5737,-968.6095,-116.59032,35.103146
-45363.53502592357,-97988.16945790718,-67479.30458200187,809.125,1,0,7000,32,7000,False,8,7,default,d8fbdb70cf824dc3806e7bad508132d8,2022-04-24_14-24-30,1650777870,40.299389123916626,338.33367466926575,24452,B46DSH3,127.0.0.1,338.33367466926575,224,7,"[-97988.16945790718, -87981.5058561355, -70341.20327994366, -71463.40958525901, -52729.484277957796, -50452.58023958231, -63514.54893330605, -45363.53502592357]","[811, 844, 805, 775, 762, 809, 856, 811]",1.1636093059829091,4.559937470890612,0.12974605382907933,42.817267801617675,0.0,0.0,0.0,17.57,1821.334,7000,7000,48032,32,48032,6544,12,4.727450980392157,22.59411764705882,0.1358823529411765,0.031447865604575166,"[-162.8483     256.9469    -238.97424    -62.97528    187.32916
  148.44952     -6.396118   588.1277     292.7417     -49.882324
  224.06055    -84.91907    308.13354     57.49756      2.6036987
  279.74158    103.80292    -14.2274475  -14.407898   297.76044
  -99.20239    -37.840942   403.78778   -139.74716    114.80829
  116.00177    102.82849    -44.15683   -140.01617   -194.8858
   68.18945    130.92029  ]",0.0005000000237487257,-788.17236,-1266.9979,-313.44507,74.78911
-33446.12208005652,-97988.16945790718,-63697.83985956349,802.8888888888889,1,0,8000,32,8000,False,9,8,default,d8fbdb70cf824dc3806e7bad508132d8,2022-04-24_14-25-06,1650777906,36.14154291152954,374.4752175807953,24452,B46DSH3,127.0.0.1,374.4752175807953,256,8,"[-97988.16945790718, -87981.5058561355, -70341.20327994366, -71463.40958525901, -52729.484277957796, -50452.58023958231, -63514.54893330605, -45363.53502592357, -33446.12208005652]","[811, 844, 805, 775, 762, 809, 856, 811, 753]",1.160028236796573,4.546892980665141,0.1286103785028887,41.99613676807071,0.0,0.2,159935.329,14.317,2235.126,8000,8000,56032,32,56032,7552,14,4.452173913043478,22.6,0.11913043478260872,0.03082673445991847,"[  67.23718    106.40051   -180.43835    102.934326  -113.5733
   27.22638   -122.155975  -113.47058    -15.629639   -11.307617
   11.883667    62.926636  -176.5036    -104.13043      5.7593994
  -67.88965   -244.3653      67.56262   -142.1034     130.36426
  136.5592     182.96051    140.07043    -71.739746    96.11249
  214.4436      -5.5427246   26.689514    79.18225    -90.97479
 -119.77295    -71.8111   ]",0.0005000000237487257,-823.181,-1221.5183,-453.82092,-6.034256
-33279.08193125585,-97988.16945790718,-58697.04556112303,805.4545454545455,2,0,9000,32,9000,False,11,9,default,d8fbdb70cf824dc3806e7bad508132d8,2022-04-24_14-25-54,1650777954,47.907092571258545,422.38231015205383,24452,B46DSH3,127.0.0.1,422.38231015205383,288,9,"[-97988.16945790718, -87981.5058561355, -70341.20327994366, -71463.40958525901, -52729.484277957796, -50452.58023958231, -63514.54893330605, -45363.53502592357, -33446.12208005652, -33279.08193125585, -39107.86050502595]","[811, 844, 805, 775, 762, 809, 856, 811, 753, 793, 841]",1.1719450135178986,4.536468832338984,0.12555160254285622,40.78615932011132,0.0,1.567,20422.039,12.946,2471.74,9000,9000,64032,32,64032,8560,16,4.351612903225806,22.529032258064515,0.1079032258064516,0.03077550088205646,"[ 194.81317     55.519714  -161.3935     -46.752075    45.76483
  -16.445312  -191.04288   -109.63757   -284.82794    143.13232
  143.93655    295.92365    -22.443054   -86.95706    134.6546
 -151.61044   -191.05286   -228.29608    -33.70404     -2.1984863
  109.552124   -66.691895   -45.847412    34.837036   339.03992
   17.466309    -0.7871704 -298.61627   -175.58984     98.61133
  362.0652      15.475098 ]",0.0005000000237487257,-773.9015,-1160.1838,-222.60294,-3.846939
-33279.08193125585,-97988.16945790718,-58697.04556112303,805.4545454545455,0,0,10000,32,10000,False,11,10,default,d8fbdb70cf824dc3806e7bad508132d8,2022-04-24_14-26-35,1650777995,41.695587396621704,464.07789754867554,24452,B46DSH3,127.0.0.1,464.07789754867554,320,10,"[-97988.16945790718, -87981.5058561355, -70341.20327994366, -71463.40958525901, -52729.484277957796, -50452.58023958231, -63514.54893330605, -45363.53502592357, -33446.12208005652, -33279.08193125585, -39107.86050502595]","[811, 844, 805, 775, 762, 809, 856, 811, 753, 793, 841]",1.1719450135178986,4.536468832338984,0.12555160254285622,40.78615932011132,0.0,0.0,0.0,19.137,1672.189,10000,10000,72032,32,72032,9568,18,4.498113207547171,22.5,0.09811320754716982,0.030702219069378926,"[ 150.51971    -56.621338  -218.49498   -196.51978     39.85852
    3.388092     3.158081   143.29254     34.836853   -25.474792
   27.890991  -143.35974     42.168213   -97.237305   -41.738342
  288.90808      7.0025024   38.94995    -63.361633    57.894897
  -10.090149   149.55933    -60.754883  -354.6843    -144.3789
   91.786194   -39.51935    -10.159058  -207.98367     13.803896
 -161.80627     39.85852  ]",0.0005000000237487257,-789.76843,-1270.6617,13.803896,-21.853378
