step,straight_sortedCarList,straight_sortedCarList_hat,straight_queueLength,straight_queueLength_hat,straight_totalWaitingTime,straight_totalWaitingTime_hat,straight_avgSpeed,straight_avgSpeed_hat,straight_avgGapSpace,straight_avgGapSpace_hat,right_sortedCarList,right_sortedCarList_hat,right_queueLength,right_queueLength_hat,right_totalWaitingTime,right_totalWaitingTime_hat,right_avgSpeed,right_avgSpeed_hat,right_avgGapSpace,right_avgGapSpace_hat
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,1,0,0,0,0.0,0,13.798328001647473,0,0.0,0,3,0,0,0,0.0,0,38.71300521915106,0,0.0,0
17.0,1,0,0,0,0.0,0,12.30306608405824,0,0.0,0,3,0,0,0,0.0,0,38.49334058762321,0,0.0,0
18.0,1,0,0,0,0.0,0,11.886028897379742,0,0.0,0,3,0,0,0,0.0,0,37.24222902758771,0,0.0,0
19.0,4,0,0,0,0.0,0,48.362498071568844,0,0.0,0,3,0,0,0,0.0,0,35.62774513420442,0,0.0,0
20.0,4,0,0,0,0.0,0,49.76521388575231,0,0.0,0,4,0,0,0,0.0,0,54.05875167922767,0,0.0,0
21.0,4,0,0,0,0.0,0,46.31410232571681,0,0.0,0,4,0,0,0,0.0,0,47.458751679227674,0,0.0,0
22.0,4,0,0,0,0.0,0,43.957150849688624,0,0.0,0,4,0,0,0,0.0,0,41.902734548978366,0,0.0,0
23.0,4,0,0,0,0.0,0,52.57277550728788,0,0.0,0,4,0,0,0,0.0,0,37.40494606615893,0,0.0,0
24.0,4,0,0,0,0.0,0,45.05639970713557,0,0.0,0,4,0,0,0,0.0,0,33.285682247182464,0,0.0,0
25.0,3,0,0,0,0.0,0,31.685820446860586,0,0.0,0,4,0,0,0,0.0,0,29.22144432566811,0,0.0,0
26.0,3,0,0,0,0.0,0,34.62346389928729,0,0.0,0,4,0,0,0,0.0,0,20.40510015988263,0,0.0,0
27.0,3,0,0,0,0.0,0,19.719484181769598,0,40.84890645172376,0,4,0,1.0010000000000048,0,1.0,0,12.127543758614143,0,0.0,0
28.0,3,0,0,0,0.0,0,17.949876021492816,0,40.30026183480926,0,4,0,3.0030000000000143,0,4.0,0,8.094311714589885,0,0.0,0
29.0,3,0,0,0,0.0,0,13.973781663982564,0,38.301553369546745,0,4,0,3.0030000000000143,0,7.0,0,7.190512596915143,0,0.0,0
30.0,3,0,0,0,0.0,0,10.17166601872294,0,34.10496054954385,0,4,0,3.0030000000000143,0,10.0,0,4.494311193813703,0,0.0,0
31.0,3,0,1.0010000000000048,0,1.0,0,6.597129315358716,0,28.305062168538598,0,4,0,3.0030000000000143,0,13.0,0,1.4943111938137057,0,0.0,0
32.0,4,0,2.0020000000000095,0,3.0,0,11.683574199259695,0,75.12124319069716,0,4,0,4.004000000000019,0,17.0,0,0.0,0,0.0,0
33.0,4,0,2.0020000000000095,0,5.0,0,9.704613469945336,0,65.41662972075181,0,4,0,4.004000000000019,0,21.0,0,0.0,0,0.0,0
34.0,4,0,2.0020000000000095,0,7.0,0,10.195464842961236,0,55.221164877790585,0,4,0,4.004000000000019,0,25.0,0,0.0,0,0.0,0
35.0,4,0,2.0020000000000095,0,9.0,0,9.154496092121999,0,46.06666878566859,0,4,0,4.004000000000019,0,29.0,0,0.0,0,0.0,0
36.0,4,0,2.0020000000000095,0,11.0,0,8.046371785346793,0,38.0202970003218,0,4,0,4.004000000000019,0,33.0,0,0.0,0,0.0,0
37.0,4,0,2.0020000000000095,0,13.0,0,7.04300409652563,0,30.97729290379617,0,4,0,4.004000000000019,0,37.0,0,0.0,0,0.0,0
38.0,4,0,2.0020000000000095,0,15.0,0,7.019643904347671,0,23.9576489994485,0,4,0,4.004000000000019,0,41.0,0,0.0,0,0.0,0
39.0,4,0,2.0020000000000095,0,17.0,0,4.819643904347671,0,19.13800509510083,0,4,0,4.004000000000019,0,45.0,0,0.0,0,0.0,0
40.0,4,0,2.0020000000000095,0,19.0,0,4.486756087435845,0,14.651249007664987,0,4,0,4.004000000000019,0,49.0,0,0.0,0,0.0,0
41.0,5,0,9.56516943968468,0,22.0,0,7.179754637766987,0,50.18035690893129,0,2,0,2.0020000000000095,0,25.0,0,0.0,0,0.0,0
42.0,5,0,9.550120873149538,0,25.0,0,6.631660118119386,0,41.734581328161305,0,2,0,2.0020000000000095,0,27.0,0,0.0,0,0.0,0
43.0,5,0,9.51167427946514,0,28.0,0,5.350061593528908,0,34.67629391288628,0,2,0,2.0020000000000095,0,29.0,0,0.0,0,0.0,0
44.0,5,0,9.510167046033075,0,31.0,0,4.544352084556666,0,28.395889899864862,0,2,0,2.0020000000000095,0,31.0,0,0.0,0,0.0,0
45.0,6,0,9.504717860460943,0,34.0,0,14.814911934993667,0,23.139586089171672,0,3,0,2.0020000000000095,0,33.0,0,12.394889072808812,0,0.0,0
46.0,6,0,17.009580905507747,0,38.0,0,15.795798580375799,0,19.206348330412077,0,3,0,2.0020000000000095,0,35.0,0,13.890150990398045,0,0.0,0
47.0,6,0,17.00821076060815,0,42.0,0,13.19683608799946,0,15.858459777617103,0,3,0,2.0020000000000095,0,37.0,0,11.690150990398045,0,0.0,0
48.0,6,0,17.005964097280213,0,46.0,0,14.234084482011252,0,12.931837260449921,0,3,0,2.0020000000000095,0,39.0,0,11.119291786747429,0,0.0,0
49.0,6,0,17.00451674659476,0,50.0,0,11.965751638526815,0,11.058087569221573,0,3,0,2.0020000000000095,0,41.0,0,13.93414145795666,0,0.0,0
50.0,6,0,17.00440559025401,0,54.0,0,13.361236952508227,0,10.178405829088948,0,3,0,2.0020000000000095,0,43.0,0,13.979940396212417,0,0.0,0
51.0,7,0,17.004250094300843,0,58.0,0,16.228234262380067,0,51.5374318258811,0,3,0,2.0020000000000095,0,45.0,0,13.137802519663612,0,0.0,0
52.0,8,0,24.580254820027065,0,63.0,0,25.445037153455576,0,45.286701194227476,0,3,0,2.0020000000000095,0,47.0,0,11.057203251812982,0,0.0,0
